,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
11,Asau,RO,274.66,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
15,Shadrinsk,RU,251.51,scattered clouds,56.0852,63.6335,Ural
17,Thompson,CA,268.86,overcast clouds,55.7435,-97.8558,Burntwood Hotel
19,Verkh-Usugli,RU,255.13,few clouds,52.7,115.1667,"Gostinitsa ""Sever"""
34,Kodiak,US,273.29,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
36,Provideniya,RU,263.21,scattered clouds,64.3833,-173.3,
39,Batsfjord,NO,271.03,few clouds,70.6345,29.7185,Adventure Apartements
41,Beringovskiy,RU,251.06,clear sky,63.05,179.3167,
49,Nome,US,267.13,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
52,Nuuk,GL,263.41,overcast clouds,64.1835,-51.7216,Vandrehuset
55,Falavarjan,IR,270.71,clear sky,32.5553,51.5097,بوستان
64,Muhos,FI,264.03,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
73,Qaanaaq,GL,261.02,scattered clouds,77.484,-69.3632,Qaanaaq Hotel
77,Whitehorse,CA,268.72,overcast clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
83,Nikolskoye,RU,270.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
84,Petropavlovsk-Kamchatskiy,RU,273.48,light shower snow,53.0452,158.6483,The Hotel Petropavlovsky
85,Barrow,US,262.88,overcast clouds,71.2906,-156.7887,King Eider Inn
89,Rochegda,RU,260.27,few clouds,62.8,43.25,
92,Aklavik,CA,264.04,light snow,68.2191,-135.0107,Aklavik Inn
97,Harnosand,SE,274.26,overcast clouds,62.6323,17.9379,First Hotel Stadt
112,Yellowknife,CA,270.44,light snow,62.456,-114.3525,The Explorer Hotel
123,Mnogovershinnyy,RU,262.0,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
127,Nanortalik,GL,273.06,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
138,Urumqi,CN,271.68,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
140,Romny,UA,272.48,overcast clouds,50.751,33.4747,Floriana
143,Haines Junction,CA,269.12,overcast clouds,60.7522,-137.5108,Parkside Inn
154,Severo-Kurilsk,RU,274.61,light snow,50.6789,156.125,Kak Doma
156,Norman Wells,CA,266.17,light snow,65.282,-126.8329,Heritage Hotel
173,Tuktoyaktuk,CA,265.15,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
