City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Sao Filipe,CV,14.8961,-24.4956,299.54,57,79,6.51,broken clouds
1,Rocha,UY,-34.4833,-54.3333,285.47,90,0,2.12,clear sky
2,Mataura,NZ,-46.1927,168.8643,288.97,32,26,4.08,scattered clouds
3,Bethel,US,41.3712,-73.414,280.64,61,1,0.45,clear sky
4,Rikitea,PF,-23.1203,-134.9692,296.24,85,42,4.94,light rain
5,Busselton,AU,-33.65,115.3333,296.89,47,59,2.59,broken clouds
6,Lodwar,KE,3.1191,35.5973,300.67,56,90,7.27,overcast clouds
7,Kirakira,SB,-10.4544,161.9205,303.51,67,100,4.08,overcast clouds
8,Wilmington,US,34.2257,-77.9447,287.1,81,79,2.18,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,290.47,95,4,4.2,clear sky
10,Hobart,AU,-42.8794,147.3294,290.96,49,40,5.66,scattered clouds
11,Asau,RO,46.4333,26.4,274.66,89,100,1.4,overcast clouds
12,Georgetown,MY,5.4112,100.3354,299.11,93,40,1.03,scattered clouds
13,Lata,PT,40.1629,-8.3327,289.86,94,100,5.87,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,285.96,47,75,6.17,broken clouds
15,Shadrinsk,RU,56.0852,63.6335,251.51,100,28,0.17,scattered clouds
16,Del Rio,US,29.3627,-100.8968,285.5,81,100,9.39,overcast clouds
17,Thompson,CA,55.7435,-97.8558,268.86,97,100,2.51,overcast clouds
18,Carnarvon,AU,-24.8667,113.6333,297.04,62,0,2.28,clear sky
19,Verkh-Usugli,RU,52.7,115.1667,255.13,91,15,0.36,few clouds
20,Sinnamary,GF,5.3833,-52.95,299.22,81,100,6.06,overcast clouds
21,Jamestown,US,42.097,-79.2353,277.95,53,0,3.09,clear sky
22,Ambon,ID,-3.6954,128.1814,298.23,88,40,5.14,scattered clouds
23,Jasidih,IN,24.5167,86.65,288.27,60,4,2.19,clear sky
24,Albany,US,42.6001,-73.9662,276.1,68,11,1.74,few clouds
25,Praia Da Vitoria,PT,38.7333,-27.0667,289.13,94,100,4.72,overcast clouds
26,Faanui,PF,-16.4833,-151.75,299.98,73,6,0.46,light rain
27,Saskylakh,RU,71.9167,114.0833,234.29,100,67,0.72,broken clouds
28,Longyearbyen,SJ,78.2186,15.6401,276.06,75,75,7.72,broken clouds
29,Cherskiy,RU,68.75,161.3,234.42,100,36,0.85,scattered clouds
30,Atuona,PF,-9.8,-139.0333,298.89,77,44,8.41,light rain
31,Kavaratti,IN,10.5669,72.642,299.54,50,63,1.43,broken clouds
32,Puerto Madryn,AR,-42.7692,-65.0385,296.43,41,100,4.47,overcast clouds
33,Necochea,AR,-38.5473,-58.7368,285.81,58,10,5.01,clear sky
34,Kodiak,US,57.79,-152.4072,273.29,76,100,3.96,overcast clouds
35,Kapaa,US,22.0752,-159.319,302.14,79,100,5.66,overcast clouds
36,Provideniya,RU,64.3833,-173.3,263.21,52,40,10.0,scattered clouds
37,Roebourne,AU,-20.7833,117.1333,301.52,51,17,4.34,few clouds
38,Avarua,CK,-21.2078,-159.775,300.18,74,75,9.26,broken clouds
39,Batsfjord,NO,70.6345,29.7185,271.03,100,20,4.12,few clouds
40,Dunedin,NZ,-45.8742,170.5036,289.32,53,96,1.52,overcast clouds
41,Beringovskiy,RU,63.05,179.3167,251.06,95,6,4.4,clear sky
42,Saint-Philippe,RE,-21.3585,55.7679,295.92,79,80,2.85,broken clouds
43,Sinop,TR,41.7711,34.8709,280.7,75,53,4.8,broken clouds
44,Nola,IT,40.922,14.5329,284.38,81,96,3.63,overcast clouds
45,Henties Bay,NA,-22.116,14.2845,289.1,81,0,1.58,clear sky
46,Punta Arenas,CL,-53.15,-70.9167,283.21,66,20,6.69,few clouds
47,East London,ZA,-33.0153,27.9116,291.86,87,7,4.03,clear sky
48,Olafsvik,IS,64.8945,-23.7142,276.44,76,32,9.22,scattered clouds
49,Nome,US,64.5011,-165.4064,267.13,93,100,2.15,overcast clouds
50,Bubaque,GW,11.2833,-15.8333,301.63,65,100,2.41,overcast clouds
51,Hamilton,US,39.1834,-84.5333,280.92,53,0,0.0,clear sky
52,Nuuk,GL,64.1835,-51.7216,263.41,93,86,2.2,overcast clouds
53,Constitucion,CL,-35.3333,-72.4167,288.17,82,27,7.11,scattered clouds
54,Port Elizabeth,ZA,-33.918,25.5701,292.09,96,23,2.74,few clouds
55,Falavarjan,IR,32.5553,51.5097,270.71,34,3,0.86,clear sky
56,Jacqueville,CI,5.2052,-4.4146,299.37,82,1,2.59,light rain
57,Yanam,IN,16.7333,82.2167,297.23,92,94,3.11,overcast clouds
58,Upata,VE,8.0086,-62.3989,296.59,96,10,1.46,clear sky
59,Tomatlan,MX,19.9333,-105.25,296.93,81,5,0.81,clear sky
60,Buraydah,SA,26.326,43.975,287.4,34,100,3.25,overcast clouds
61,Seoul,KR,37.5683,126.9778,284.84,76,66,2.57,broken clouds
62,Cabo San Lucas,MX,22.8909,-109.9124,297.62,68,0,2.57,clear sky
63,Rosetta,EG,31.4044,30.4164,292.05,58,0,1.2,clear sky
64,Muhos,FI,64.808,25.9931,264.03,93,100,1.92,overcast clouds
65,Alenquer,BR,-1.9417,-54.7383,302.18,56,76,1.67,broken clouds
66,Bluff,NZ,-46.6,168.3333,289.15,56,42,3.5,scattered clouds
67,Khatanga,RU,71.9667,102.5,236.46,100,63,2.07,broken clouds
68,Fortuna,US,40.5982,-124.1573,287.58,87,100,1.54,overcast clouds
69,Kathmandu,NP,27.7167,85.3167,282.27,87,20,1.03,mist
70,Esperance,AU,-33.8667,121.9,295.24,43,100,5.23,overcast clouds
71,Mount Gambier,AU,-37.8333,140.7667,288.64,56,83,4.14,broken clouds
72,Oranjemund,NA,-28.55,16.4333,288.04,85,1,0.85,clear sky
73,Qaanaaq,GL,77.484,-69.3632,261.02,78,45,1.95,scattered clouds
74,Nhulunbuy,AU,-12.2333,136.7667,306.49,55,40,3.09,scattered clouds
75,Shimoda,JP,34.6667,138.95,287.35,94,100,2.24,light rain
76,Grindavik,IS,63.8424,-22.4338,275.41,75,0,5.14,clear sky
77,Whitehorse,CA,60.7161,-135.0538,268.72,96,94,1.75,overcast clouds
78,Hokitika,NZ,-42.7167,170.9667,288.53,60,12,5.48,few clouds
79,Laguna,US,38.421,-121.4238,288.74,49,0,2.57,clear sky
80,Lagos,NG,6.5833,3.75,300.33,88,3,0.16,clear sky
81,Velez-Malaga,ES,36.7726,-4.1005,292.03,70,38,3.63,scattered clouds
82,Nimes,FR,43.8333,4.35,282.81,76,0,0.51,clear sky
83,Nikolskoye,RU,59.7035,30.7861,270.09,93,100,2.88,overcast clouds
84,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,273.48,64,75,5.0,light shower snow
85,Barrow,US,71.2906,-156.7887,262.88,80,100,9.3,overcast clouds
86,Husavik,IS,66.0449,-17.3389,275.36,82,100,7.45,overcast clouds
