City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dickinson,US,2022-11-09 01:52:19,29.4608,-95.0513,297.66,85,0,1.54
1,Fort Nelson,CA,2022-11-09 01:52:19,58.8053,-122.7002,255.34,100,40,1.54
2,Aklavik,CA,2022-11-09 01:52:20,68.2191,-135.0107,265.87,89,100,1.11
3,Ushuaia,AR,2022-11-09 01:48:19,-54.8,-68.3,281.96,53,75,1.54
4,Rikitea,PF,2022-11-09 01:52:20,-23.1203,-134.9692,297.47,87,100,6.06
5,Busselton,AU,2022-11-09 01:52:21,-33.65,115.3333,293.18,55,21,4.0
6,Saint-Leu,RE,2022-11-09 01:52:21,-21.15,55.2833,297.57,90,63,0.81
7,San Pedro,PH,2022-11-09 01:52:21,14.35,121.0167,302.79,77,75,2.06
8,Cherskiy,RU,2022-11-09 01:52:22,68.75,161.3,251.99,98,98,1.93
9,Sorland,NO,2022-11-09 01:52:22,67.667,12.6934,278.07,60,1,9.88
10,Bereda,ES,2022-11-09 01:51:45,43.2686,-7.5406,285.05,100,98,2.22
11,Mazamari,PE,2022-11-09 01:52:23,-11.3258,-74.5308,295.02,90,99,1.05
12,Albany,US,2022-11-09 01:52:23,42.6001,-73.9662,277.8,59,2,2.08
13,Souillac,MU,2022-11-09 01:52:23,-20.5167,57.5167,296.36,78,40,3.09
14,Hermanus,ZA,2022-11-09 01:52:24,-34.4187,19.2345,284.15,78,6,5.29
15,Tuktoyaktuk,CA,2022-11-09 01:52:24,69.4541,-133.0374,264.15,79,75,5.14
16,Mataura,NZ,2022-11-09 01:52:25,-46.1927,168.8643,288.38,69,97,4.73
17,Dikson,RU,2022-11-09 01:51:47,73.5069,80.5464,259.18,93,95,2.97
18,Hilo,US,2022-11-09 01:52:01,19.7297,-155.09,299.0,82,75,3.09
19,Punta Arenas,CL,2022-11-09 01:52:25,-53.15,-70.9167,284.21,58,75,13.38
20,Camacupa,AO,2022-11-09 01:52:26,-12.0167,17.4833,289.96,90,100,0.44
21,Mao,ES,2022-11-09 01:51:34,39.8885,4.2658,293.46,83,40,3.6
22,Castro,BR,2022-11-09 01:52:27,-24.7911,-50.0119,287.59,69,61,1.17
23,Ucluelet,CA,2022-11-09 01:52:27,48.9329,-125.5528,277.32,84,1,2.31
24,Gap,FR,2022-11-09 01:50:16,44.6667,6.0,275.28,85,100,2.19
25,Itarema,BR,2022-11-09 01:52:27,-2.9248,-39.9167,298.63,78,93,5.22
26,Cidreira,BR,2022-11-09 01:52:28,-30.1811,-50.2056,289.95,87,98,4.76
27,Port Elizabeth,ZA,2022-11-09 01:52:28,-33.918,25.5701,292.09,74,100,5.66
28,Sao Joao Da Barra,BR,2022-11-09 01:52:29,-21.6403,-41.0511,294.48,83,100,2.88
29,The Valley,AI,2022-11-09 01:52:29,18.217,-63.0578,300.43,75,100,7.69
30,Jamestown,US,2022-11-09 01:52:29,42.097,-79.2353,277.95,68,0,3.09
31,Kamaishi,JP,2022-11-09 01:52:30,39.2667,141.8833,287.07,48,11,3.07
32,Saint-Joseph,RE,2022-11-09 01:52:30,-21.3667,55.6167,297.3,77,39,3.24
33,Mercedes,AR,2022-11-09 01:52:30,-34.6515,-59.4307,291.36,82,40,3.97
34,Vostok,RU,2022-11-09 01:52:31,46.4856,135.8833,278.03,44,59,3.42
35,Qaanaaq,GL,2022-11-09 01:52:31,77.484,-69.3632,249.7,68,17,3.51
36,Bluff,NZ,2022-11-09 01:52:32,-46.6,168.3333,285.62,82,98,7.42
